Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share
1,Avengers: Endgame,"$2,797,800,564 ","$858,373,000 ","$1,939,427,564 ",30.68%
2,The Lion King,"$1,656,313,097 ","$543,638,043 ","$1,112,675,054 ",32.82%
3,Frozen II,"$1,430,769,340 ","$474,900,703 ","$955,868,637 ",33.19%
4,Spider-Man: Far From Home,"$1,131,927,996 ","$390,532,085 ","$741,395,911 ",34.50%
5,Captain Marvel,"$1,129,729,839 ","$426,829,839 ","$702,900,000 ",37.78%
6,Toy Story 4,"$1,073,394,813 ","$434,038,008 ","$639,356,805 ",40.44%
7,Joker,"$1,071,897,714 ","$335,251,773 ","$736,645,941 ",31.28%
8,Star Wars: The Rise of Skywalker,"$1,060,451,411 ","$511,874,363 ","$548,577,048 ",48.27%
9,Aladdin,"$1,050,959,216 ","$355,559,216 ","$695,400,000 ",33.83%
10,Jumanji: The Next Level,"$770,689,347 ","$301,861,286 ","$468,828,061 ",39.17%
11,Fast & Furious Presents: Hobbs & Shaw,"$760,582,290 ","$173,956,935 ","$586,625,355 ",22.87%
12,Ne Zha Zhi Mo Tong Jiang Shi,"$725,109,133 ","$3,695,533 ","$721,413,600 ",0.51%
13,Liu Lang Di Qiu,"$698,258,870 ","$5,875,487 ","$692,383,383 ",0.84%
14,How to Train Your Dragon: The Hidden World,"$522,236,223 ","$160,799,505 ","$361,436,718 ",30.79%
15,Maleficent: Mistress of Evil,"$489,745,826 ","$113,929,605 ","$375,816,221 ",23.26%
16,It: Chapter Two,"$470,288,232 ","$211,593,228 ","$258,695,004 ",44.99%
17,Wo he wo de zu guo,"$465,448,019 ","$2,323,409 ","$463,124,610 ",0.50%
18,The Secret Life of Pets 2,"$434,461,580 ","$158,874,395 ","$275,587,185 ",36.57%
19,Pokémon: Detective Pikachu,"$429,685,022 ","$144,105,346 ","$285,579,676 ",33.54%
20,Zhongguo jizhang,"$417,654,292 ","$706,572 ","$416,947,720 ",0.17%
21,Alita: Battle Angel,"$402,971,268 ","$85,710,210 ","$317,261,058 ",21.27%
22,Godzilla: King of the Monsters,"$383,299,915 ","$110,500,138 ","$272,799,777 ",28.83%
23,Once Upon a Time…in Hollywood,"$371,218,210 ","$142,453,492 ","$228,764,718 ",38.37%
24,Shazam!,"$363,664,533 ","$140,371,656 ","$223,292,877 ",38.60%
25,Dumbo,"$353,166,307 ","$114,766,307 ","$238,400,000 ",32.50%
26,Feng Kuang De Wai Xing Ren,"$326,150,303 ",,"$326,150,303 ",
27,John Wick: Chapter 3 — Parabellum,"$325,785,782 ","$171,015,687 ","$154,770,095 ",52.49%
28,Knives Out,"$300,891,472 ","$160,436,017 ","$140,455,455 ",53.32%
29,1917,"$293,371,782 ","$138,784,984 ","$154,586,798 ",47.31%
30,Us,"$256,162,798 ","$175,084,580 ","$81,078,218 ",68.35%
31,Fei Chi Ren Sheng,"$255,832,826 ",,"$255,832,826 ",
32,Men in Black: International,"$252,994,560 ","$80,001,807 ","$172,992,753 ",31.62%
33,Terminator: Dark Fate,"$250,904,475 ","$62,253,077 ","$188,651,398 ",24.81%
34,Dark Phoenix,"$246,356,895 ","$65,845,974 ","$180,510,921 ",26.73%
35,Glass,"$245,316,968 ","$111,048,468 ","$134,268,500 ",45.27%
36,Lie huo ying xiong,"$245,179,530 ","$290,217 ","$244,889,313 ",0.12%
37,Annabelle Comes Home,"$228,539,928 ","$74,152,591 ","$154,387,337 ",32.45%
38,Shao Nian De Ni,"$225,316,025 ","$1,921,657 ","$223,394,368 ",0.85%
39,Ford v. Ferrari,"$218,559,754 ","$116,752,518 ","$101,807,236 ",53.42%
